port,status
1071,not-free
1072,free
1073,free
1074,free
1075,free
1076,free
1077,free
1078,free
1079,free
1080,free
1081,free
1082,free
1083,free
1084,free
1085,free
1086,free
1087,free
1088,free
1089,free
1090,free
1091,free
1092,free
1093,free
1094,free
1095,free
1096,free
1097,free
1098,free
1099,free
1100,free
1101,free
1102,free
1103,free
1104,free
1105,free
1106,free
1107,free
1108,free
1109,free
1110,free
1111,free
1112,free
1113,free
1114,free
1115,free
1116,free
1117,free
1118,free
1119,free
1120,free
1121,free
1122,free
1123,free
1124,free
1125,free
1126,free
1127,free
1128,free
1129,free
1130,free
1131,free
1132,free
1133,free
1134,free
1135,free
1136,free
1137,free
1138,free
1139,free
1140,free
1141,free
1142,free
1143,free
1144,free
1145,free
1146,free
1147,free
1148,free
1149,free
1150,free
1151,free
1152,free
1153,free
1154,free
1155,free
1156,free
1157,free
1158,free
1159,free
1160,free
1161,free
1162,free
1163,free
1164,free
1165,free
1166,free
1167,free
1168,free
1169,free
1170,free
